0:0:0:0:0:0:0:1 - - [19/Feb/2016:19:56:05 -0600] "PROPFIND /C$/apache-tomcat-7.0.34 HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [19/Feb/2016:19:56:05 -0600] "PROPFIND /C$/apache-tomcat-7.0.34/webapps HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [19/Feb/2016:19:56:05 -0600] "PROPFIND /C$/apache-tomcat-7.0.34 HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [19/Feb/2016:19:56:05 -0600] "PROPFIND /C$/apache-tomcat-7.0.34/webapps/ HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [19/Feb/2016:19:56:05 -0600] "PROPFIND /C$/apache-tomcat-7.0.34 HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [19/Feb/2016:19:56:05 -0600] "PROPFIND /C$/apache-tomcat-7.0.34 HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [19/Feb/2016:19:56:05 -0600] "PROPFIND /C$ HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [19/Feb/2016:19:56:05 -0600] "PROPFIND /C$/apache-tomcat-7.0.34 HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [19/Feb/2016:19:56:05 -0600] "PROPFIND /C$ HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [19/Feb/2016:19:56:05 -0600] "PROPFIND /C$/apache-tomcat-7.0.34 HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [19/Feb/2016:19:56:06 -0600] "PROPFIND /C$ HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [19/Feb/2016:19:56:06 -0600] "PROPFIND /C$/apache-tomcat-7.0.34/ HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [19/Feb/2016:19:56:06 -0600] "PROPFIND /C$ HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [19/Feb/2016:19:56:06 -0600] "PROPFIND /C$ HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [19/Feb/2016:19:56:06 -0600] "PROPFIND /C$ HTTP/1.1" 501 1126
